event_id,issue_id,issue_system_id,issue_type,new_value,old_value,priority,project_id,status
5f204c1ef193693ec07bb9af,5f204c1ef193693ec07bb9af,5f204abaf193693ec07b9eb4,Bug,Expert,Intermediate,Critical,5e84988880c620a732667310,Complexity
5f204c1ef193693ec07bb9af,5f204c1ef193693ec07bb9af,5f204abaf193693ec07b9eb4,Bug,7200,,Critical,5e84988880c620a732667310,timeestimate
5f204c2df193693ec07bbafa,5f204c2df193693ec07bbafa,5f204abaf193693ec07b9eb4,Improvement,0,16200,Major,5e84988880c620a732667310,timeestimate
5f204c2df193693ec07bbafa,5f204c2df193693ec07bbafa,5f204abaf193693ec07b9eb4,Improvement,16200,18000,Major,5e84988880c620a732667310,timeestimate
5f204c2df193693ec07bbafa,5f204c2df193693ec07bbafa,5f204abaf193693ec07b9eb4,Improvement,18000,21600,Major,5e84988880c620a732667310,timeestimate
5f204c2df193693ec07bbafa,5f204c2df193693ec07bbafa,5f204abaf193693ec07b9eb4,Improvement,21600,,Major,5e84988880c620a732667310,timeestimate
5f204c2ff193693ec07bbb17,5f204c2ff193693ec07bbb17,5f204abaf193693ec07b9eb4,Bug,Intermediate,,Blocker,5e84988880c620a732667310,Complexity
5f204c3af193693ec07bbbe2,5f204c3af193693ec07bbbe2,5f204abaf193693ec07b9eb4,Improvement,0,3600,Major,5e84988880c620a732667310,timeestimate
5f204c42f193693ec07bbc74,5f204c42f193693ec07bbc74,5f204abaf193693ec07b9eb4,Bug,0,14400,Major,5e84988880c620a732667310,timeestimate
5f204c46f193693ec07bbcb6,5f204c46f193693ec07bbcb6,5f204abaf193693ec07b9eb4,Bug,0,10800,Major,5e84988880c620a732667310,timeestimate
5f204c46f193693ec07bbcb6,5f204c46f193693ec07bbcb6,5f204abaf193693ec07b9eb4,Bug,10800,,Major,5e84988880c620a732667310,timeestimate
5f204c4df193693ec07bbd4c,5f204c4df193693ec07bbd4c,5f204abaf193693ec07b9eb4,Bug,0,300,Trivial,5e84988880c620a732667310,timeestimate
5f204c4ff193693ec07bbd7e,5f204c4ff193693ec07bbd7e,5f204abaf193693ec07b9eb4,Bug,0,7200,Major,5e84988880c620a732667310,timeestimate
